,Country Name_x,Country ISO3_x,Year,Indicator Name_x,Indicator Code_x,Value_x,Country Name_y,Country ISO3_y,Indicator Name_y,Indicator Code_y,Value_y
0,United States,USA,2020,CO2 emissions (kt),EN.ATM.CO2E.KT,4320532.5,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2776503000000
1,United States,USA,2019,CO2 emissions (kt),EN.ATM.CO2E.KT,4817710.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,3116954000000
2,United States,USA,2018,CO2 emissions (kt),EN.ATM.CO2E.KT,4975300.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,3131166000000
3,United States,USA,2017,CO2 emissions (kt),EN.ATM.CO2E.KT,4819365.1,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2931589000000
4,United States,USA,2016,CO2 emissions (kt),EN.ATM.CO2E.KT,4894499.2,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2738830000000
5,United States,USA,2015,CO2 emissions (kt),EN.ATM.CO2E.KT,4990703.7,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2794942000000
6,United States,USA,2014,CO2 emissions (kt),EN.ATM.CO2E.KT,5107208.6,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2887445000000
7,United States,USA,2013,CO2 emissions (kt),EN.ATM.CO2E.KT,5092097.2,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2766375000000
8,United States,USA,2012,CO2 emissions (kt),EN.ATM.CO2E.KT,4956053,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2769317000000
9,United States,USA,2011,CO2 emissions (kt),EN.ATM.CO2E.KT,5173591.2,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2695480000000
10,United States,USA,2010,CO2 emissions (kt),EN.ATM.CO2E.KT,5392109.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2389555000000
11,United States,USA,2009,CO2 emissions (kt),EN.ATM.CO2E.KT,5156424.9,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2001927000000
12,United States,USA,2008,CO2 emissions (kt),EN.ATM.CO2E.KT,5558378.9,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2576151000000
13,United States,USA,2007,CO2 emissions (kt),EN.ATM.CO2E.KT,5736319.3,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2395228000000
14,United States,USA,2006,CO2 emissions (kt),EN.ATM.CO2E.KT,5653081,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2256623000000
15,United States,USA,2005,CO2 emissions (kt),EN.ATM.CO2E.KT,5753493.2,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2041482000000
16,United States,USA,2004,CO2 emissions (kt),EN.ATM.CO2E.KT,5738286,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1810504000000
17,United States,USA,2003,CO2 emissions (kt),EN.ATM.CO2E.KT,5658992,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1557120000000
18,United States,USA,2002,CO2 emissions (kt),EN.ATM.CO2E.KT,5593024.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1437724000000
19,United States,USA,2001,CO2 emissions (kt),EN.ATM.CO2E.KT,5748261.8,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1403559000000
20,United States,USA,2000,CO2 emissions (kt),EN.ATM.CO2E.KT,5775807.2,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1477184000000
21,United States,USA,1999,CO2 emissions (kt),EN.ATM.CO2E.KT,5609017.3,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1252460000000
22,United States,USA,1998,CO2 emissions (kt),EN.ATM.CO2E.KT,5590536.3,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1115690000000
23,United States,USA,1997,CO2 emissions (kt),EN.ATM.CO2E.KT,5543349.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1055774000000
24,United States,USA,1996,CO2 emissions (kt),EN.ATM.CO2E.KT,5273486.3,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,963966000000
25,United States,USA,1995,CO2 emissions (kt),EN.ATM.CO2E.KT,5117036.9,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,902572000000
26,United States,USA,1994,CO2 emissions (kt),EN.ATM.CO2E.KT,5066803,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,813424000000
27,United States,USA,1993,CO2 emissions (kt),EN.ATM.CO2E.KT,4995209.5,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,719973000000
28,United States,USA,1992,CO2 emissions (kt),EN.ATM.CO2E.KT,4879626.1,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,667791000000
29,United States,USA,1991,CO2 emissions (kt),EN.ATM.CO2E.KT,4807496.5,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,623544000000
30,United States,USA,1990,CO2 emissions (kt),EN.ATM.CO2E.KT,4844517.4,United States,USA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,629728000000
